SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 10:00:08.605;22.04.2020 09:59:55.000;101;10566;28461;;;;;;
22.04.2020 10:00:08.667;22.04.2020 09:59:55.000;101;10666;28411;;;;;;
22.04.2020 10:00:08.730;22.04.2020 09:59:55.000;101;10666;28412;;;;;;
22.04.2020 10:00:08.823;22.04.2020 09:59:55.000;101;10668;28412;;;;;;
22.04.2020 10:00:08.902;22.04.2020 09:59:55.000;101;10660;28412;;;;;;
22.04.2020 10:00:08.995;22.04.2020 09:59:55.000;101;10668;28412;;;;;;
22.04.2020 10:00:09.511;22.04.2020 09:59:55.000;101;10668;28413;;;;;;
22.04.2020 10:00:10.527;22.04.2020 09:59:55.000;101;10510;28245;;;;;;
22.04.2020 10:00:10.636;22.04.2020 09:59:55.000;101;10524;28289;;;;;;
22.04.2020 10:00:11.215;22.04.2020 09:59:55.000;101;10521;28286;;;;;;
22.04.2020 10:00:11.418;22.04.2020 09:59:55.000;101;10517;28286;;;;;;
22.04.2020 10:00:11.496;22.04.2020 09:59:55.000;101;10525;28290;;;;;;
22.04.2020 10:00:11.918;22.04.2020 09:59:55.000;101;10517;28286;;;;;;
22.04.2020 10:00:12.169;22.04.2020 09:59:55.000;101;10521;28286;;;;;;
22.04.2020 10:00:12.247;22.04.2020 09:59:55.000;101;10721;28486;;;;;;
22.04.2020 10:00:12.435;22.04.2020 09:59:55.000;101;10736;28486;;;;;;
22.04.2020 10:00:13.498;22.04.2020 09:59:55.000;101;10732;28446;;;;;;
22.04.2020 10:00:13.591;22.04.2020 09:59:55.000;101;10736;28488;;;;;;
22.04.2020 10:00:13.888;22.04.2020 09:59:55.000;101;10736;28489;;;;;;
22.04.2020 10:00:14.013;22.04.2020 09:59:55.000;101;10736;28447;;;;;;
22.04.2020 10:00:14.123;22.04.2020 09:59:55.000;101;10736;28469;;;;;;
22.04.2020 10:00:14.482;22.04.2020 09:59:55.000;101;10716;28469;;;;;;
